Name,Position,Points,Proptype
Felipe Rodríguez,Tigres - Goalkeeper,2.5,Goalie Saves
Fernando Gorriarán,Tigres - Midfielder,47.5,Passes Attempted
Antoine Griezmann + João Félix,Atlético/Barcelona - Attacker/Attacker,5.0,Shots (Combo)
Antoine Griezmann + Marcel Sabitzer,Atlético/Dortmund - Attacker/Midfielder,84.5,Passes Attempted (Combo)
Antoine Griezmann + João Félix,Atlético/Barcelona - Attacker/Attacker,2.0,Shots On Target (Combo)
André-Pierre Gignac,Tigres - Attacker,2.5,Shots
Kylian Mbappé,PSG - Attacker,0.5,Goals
Giacomo Vrioni,New England - Attacker,0.5,Shots On Target
Jan Oblak + Gregor Kobel,Atlético/Dortmund - GK,6.0,Goalie Saves (Combo)
Antoine Griezmann,Atlético - Attacker,0.5,Goal + Assist
Rafael Carioca,Tigres - Midfielder,0.5,Shots Assisted
Samir,Tigres - Defender,2.5,Clearances
Javier Aquino,Tigres - Midfielder,2.5,Tackles
Koke,Atlético - Midfielder,0.5,Fouls
